-18.5 26.767287 17.975103
-15.5 17.171543 7.2660132
-12.5 12.735372 0.82417443
-9.5 10.658245 0.69655271
-6.5 8.7460106 1.0458973
-3.5 8.2034574 0.68562494
-0.5 10.006649 0.64658374
2.5 9.5944149 0.78338917
5.5 10.176862 0.72320901
8.5 11.06516 0.54913298
11.5 8.6156915 0.50091473
14.5 10.490691 0.58006643
17.5 10.078457 0.72771804
20.5 10.224734 0.82634589
23.5 7.1023936 0.73752159
26.5 8.5226064 1.2704823
29.5 7.3098404 0.70952004
32.5 13.107713 0.7239461
35.5 20.304521 5.3406691
38.5 23.136968 0.78645135
41.5 24.292553 0.55166047
44.5 25.228723 0.79827653
47.5 24.026596 0.50062539
50.5 22.271277 0.43364451
53.5 22.585106 0.59695438
56.5 20.680851 2.1863102
59.5 19.218085 1.0699056
62.5 17.734043 2.1763214
65.5 11.606383 0.43798481
68.5 18.75 2.0070064
71.5 22.005319 0.66619954
74.5 32.462766 17.738556
